date,open,close,high,low,volume
2020-06-12,3931.62,4003.08,4011.06,3927.25,13416.66
2020-06-15,3982.97,3954.99,4007.14,3954.99,13129.79
2020-06-16,3995.58,4014.57,4014.57,3987.86,11105.15
2020-06-17,4018.61,4017.59,4018.61,3992.13,10560.58
2020-06-18,4009.78,4044.38,4047.56,4000.9,13814.88
2020-06-19,4047.05,4098.71,4109.36,4043.49,15294.7
2020-06-22,4097.51,4102.05,4126.94,4088.78,15582.95
2020-06-23,4098.04,4121.79,4124.73,4080.75,12922.95
2020-06-24,4128.1,4138.99,4144.68,4123.36,12171.25
2020-06-29,4127.93,4109.72,4137.37,4092.54,13086.59
2020-06-30,4130.0,4163.96,4174.42,4129.78,12593.35
2020-07-01,4172.64,4247.78,4247.78,4163.5,16999.05
2020-07-02,4239.41,4335.84,4340.1,4238.12,25293.94
2020-07-03,4353.19,4419.6,4419.6,4348.45,29048.55
2020-07-06,4465.81,4670.09,4678.11,4465.81,40582.1
2020-07-07,4739.61,4698.13,4796.32,4688.06,40600.86
2020-07-08,4692.86,4774.0,4803.36,4670.65,34807.48
2020-07-09,4770.08,4840.77,4854.12,4757.29,35104.69
2020-07-10,4796.09,4753.13,4821.37,4734.47,31694.97
2020-07-13,4742.37,4852.96,4878.08,4741.87,32164.54
2020-07-14,4836.17,4806.69,4860.44,4729.93,29724.2
2020-07-15,4821.52,4744.47,4837.48,4723.36,27238.9
2020-07-16,4741.53,4516.25,4772.56,4513.65,28465.71
2020-07-17,4524.77,4544.7,4601.37,4485.82,20737.56
2020-07-20,4597.2,4680.3,4681.94,4534.23,24606.89
2020-07-21,4697.5,4691.04,4714.29,4661.44,20041.57
2020-07-22,4682.66,4714.45,4790.45,4675.35,22419.92
2020-07-23,4668.74,4712.44,4731.4,4607.66,23431.46
2020-07-24,4679.03,4505.59,4691.7,4479.39,24390.52
2020-07-27,4535.01,4528.45,4558.12,4482.44,17142.06
2020-07-28,4567.67,4568.26,4590.25,4537.68,16276.85
2020-07-29,4559.16,4679.01,4680.56,4548.85,18669.53
2020-07-30,4689.76,4656.15,4704.63,4649.77,16696.76
2020-07-31,4652.18,4695.05,4741.81,4621.96,18483.9
2020-08-03,4735.9,4771.31,4771.37,4720.03,21477.62
2020-08-04,4778.49,4775.8,4807.08,4747.77,23997.5
2020-08-05,4761.76,4777.11,4786.7,4711.27,19670.05
2020-08-06,4779.24,4762.76,4791.86,4691.16,22785.44
2020-08-07,4742.29,4707.93,4749.02,4637.84,21351.82
2020-08-10,4681.76,4724.87,4757.66,4646.29,20378.88
2020-08-11,4730.37,4681.78,4791.53,4674.86,20554.65
2020-08-12,4668.89,4647.64,4681.62,4566.27,20288.72
2020-08-13,4666.49,4635.71,4671.77,4626.1,15255.01
2020-08-14,4627.61,4704.63,4708.07,4617.63,14729.29
2020-08-17,4727.12,4815.23,4838.09,4721.36,26800.16
2020-08-18,4816.57,4812.76,4825.39,4788.83,18913.99
2020-08-19,4804.67,4740.68,4809.05,4738.01,19244.29
2020-08-20,4708.13,4679.15,4721.44,4662.8,15836.86
2020-08-21,4717.79,4718.84,4739.48,4684.81,14265.79
2020-08-24,4746.4,4755.85,4769.47,4716.61,15114.35
2020-08-25,4769.21,4761.95,4802.41,4746.31,14170.14
2020-08-26,4761.72,4706.13,4786.42,4689.88,15130.52
2020-08-27,4718.06,4731.35,4731.94,4679.36,11904.29
2020-08-28,4727.29,4844.27,4850.49,4719.35,15939.98
2020-08-31,4870.93,4816.22,4901.21,4816.21,20256.7
2020-09-01,4803.39,4842.12,4842.14,4791.78,13839.54
2020-09-02,4859.08,4843.89,4863.55,4797.52,15798.95
2020-09-03,4841.5,4817.1,4877.01,4800.06,14567.12
2020-09-04,4737.24,4770.22,4778.2,4726.56,12003.28
2020-09-07,4759.52,4669.37,4789.3,4655.56,14860.78
2020-09-08,4683.83,4694.39,4707.9,4639.05,13919.92
2020-09-09,4634.25,4584.59,4645.2,4558.03,16227.71
2020-09-10,4632.1,4581.98,4647.75,4572.21,15065.29
2020-09-11,4572.26,4627.28,4630.88,4563.11,11530.24
2020-09-14,4652.05,4651.05,4666.99,4625.99,10723.52
2020-09-15,4649.45,4688.48,4691.5,4630.54,10191.59
2020-09-16,4683.01,4657.36,4690.68,4638.46,10875.36
2020-09-17,4642.05,4632.71,4664.95,4601.64,10598.36
2020-09-18,4636.64,4737.09,4737.8,4631.7,16042.65
2020-09-21,4750.75,4691.43,4752.98,4688.72,12453.58
2020-09-22,4654.22,4635.76,4706.21,4622.11,11967.29
2020-09-23,4639.66,4652.33,4665.96,4623.55,9582.65
2020-09-24,4623.95,4563.07,4631.95,4562.21,11259.37
2020-09-25,4582.48,4570.02,4599.54,4554.72,9301.52
2020-09-28,4582.65,4581.91,4613.63,4571.15,8504.84
2020-09-29,4608.29,4591.8,4616.68,4586.35,8599.39
2020-09-30,4607.58,4587.4,4634.72,4563.41,8908.12
2020-10-09,4663.61,4681.14,4695.4,4655.09,11133.75
2020-10-12,4705.19,4823.16,4823.27,4704.16,15578.46
2020-10-13,4812.9,4839.2,4845.92,4795.37,11651.63
2020-10-14,4830.46,4807.1,4830.46,4795.91,11190.69
2020-10-15,4810.78,4798.74,4833.89,4796.26,10996.5
2020-10-16,4798.92,4791.68,4825.55,4765.97,11671.61
2020-10-19,4823.49,4755.49,4849.61,4747.34,12924.64
2020-10-20,4751.37,4793.47,4793.47,4739.46,9804.82
2020-10-21,4801.63,4792.83,4801.63,4758.86,10380.57
2020-10-22,4780.6,4777.98,4791.81,4725.5,10135.09
2020-10-23,4775.47,4718.49,4802.46,4717.1,10682.52
2020-10-26,4684.05,4691.24,4713.39,4639.3,10834.33
2020-10-27,4680.14,4699.28,4708.46,4671.85,9265.63
2020-10-28,4703.0,4737.27,4753.31,4685.6,10846.34
2020-10-29,4683.61,4772.92,4803.03,4679.25,11711.73
2020-10-30,4776.47,4695.33,4778.51,4683.47,13980.23
2020-11-02,4702.75,4720.83,4738.02,4695.44,14286.77
2020-11-03,4743.17,4777.56,4793.4,4734.17,13605.54
2020-11-04,4781.45,4813.66,4825.46,4770.56,11466.18
2020-11-05,4861.34,4885.11,4885.11,4838.0,13924.46
2020-11-06,4897.63,4885.72,4897.63,4845.43,15363.9
2020-11-09,4918.86,4981.35,4997.8,4918.86,19713.2
2020-11-10,4995.41,4953.88,4995.41,4928.93,17626.72
2020-11-11,4937.76,4904.9,4957.58,4901.71,16447.05
2020-11-12,4916.77,4908.46,4926.34,4891.51,11811.46
2020-11-13,4886.98,4856.85,4886.98,4825.76,13369.31
2020-11-16,4880.96,4904.17,4904.17,4848.62,14877.1
2020-11-17,4903.12,4894.79,4909.29,4865.39,15148.75
2020-11-18,4889.67,4891.67,4911.09,4870.72,16421.66
2020-11-19,4880.92,4927.99,4939.79,4870.2,13368.14
2020-11-20,4928.22,4943.29,4947.43,4922.59,12940.03
2020-11-23,4954.6,5005.03,5029.65,4940.45,20591.52
2020-11-24,4997.05,4974.29,5001.06,4960.98,15663.79
2020-11-25,4992.75,4910.7,5004.77,4910.7,17034.05
2020-11-26,4908.32,4919.59,4925.29,4867.82,13720.23
2020-11-27,4930.59,4980.77,4980.77,4917.35,16295.29
2020-11-30,4994.11,4960.25,5055.19,4960.25,26263.9
2020-12-01,4963.13,5067.1,5072.55,4963.13,20406.56
2020-12-02,5072.98,5067.14,5090.61,5043.31,19543.55
2020-12-03,5065.45,5057.06,5072.3,5033.79,17786.57
2020-12-04,5049.52,5065.92,5072.39,5017.85,14434.72
2020-12-07,5065.73,5022.24,5067.87,5014.61,13989.62
2020-12-08,5029.11,5009.88,5043.06,4998.92,12307.3
2020-12-09,5022.38,4942.7,5033.64,4942.52,13891.7
2020-12-10,4931.29,4940.52,4962.74,4919.77,12591.43
